IDX,발화자,발화문,인텐트,상담번호,상담내순번
28414,c,혹시 플라워 스마트 톡 케이스 블루로 바꿀 수 있나요?,교환|반품|환불_일반_요청,389321,1
28415,s,현재 배송 중으로 교환이 어렵습니다.,교환|반품|환불_일반_요청,389321,2
28416,c,USB1.0 속도 밖에 나오질 않네요리더 기만 교환 바랍니다. 불량 리더기도 택배로 붙여야 하나요?,교환|반품|환불_일반_요청,179614,1
28417,s,네.리더기만 불량이 여교환 문의해주셨는데요.,교환|반품|환불_일반_요청,179614,2
28418,c,빨리 챙겨서 보내주시기 바랍니다 아니면 다시 1개는 교환으로 보내야 하는지요?,교환|반품|환불_일반_요청,325053,1
28419,s,커버는 사은품으로 필수 구성품이 아닙니다.,교환|반품|환불_일반_요청,325053,2
28420,c,불량인 거 같아 요택배박스는 버렸거든요 이 거반품해야 될 거 같은데요?,교환|반품|환불_일반_요청,420229,1
28421,s,회수 확인 후 처리도와드리겠습니다.,교환|반품|환불_일반_요청,420229,2
28422,c,배송 방금 받았는데 반품한 물건 보내셨나 봐요테 잎이 뜯어져 있고 사용설명서도 없어요 교환 접수해주시겠어요?,교환|반품|환불_일반_요청,196860,1
28423,s,문의하신 내용으로 테이프는 저희 수입 과정 중 뜯어지는 경우가 너무 많습니다.,교환|반품|환불_일반_요청,196860,2
28424,c,크로크 그레이에 사진을 스퀘어 그레이로 올려놓으셔서 잘못 구입한 거니 교환해 주셔야 하는 거 아닌가요?,교환|반품|환불_일반_요청,403710,1
28425,s,판매 페이지 옵션 번호와 상품 등록 내용은 변경될 수 있습니다. 구매 당시와 지금 판매되고 있는 페이지 상품 옵션 번호가 변경되었으나 고객님께서 구매 당시에는 16번이 크로크 그레이 제품이 맞았습니다.,교환|반품|환불_일반_요청,403710,2
28426,c,C110 /3개를 주문했는데 1개가 불량입니다. 1개만 다시 보내주실 수 있으신가요?,교환|반품|환불_일반_요청,268499,1
28427,s,해당 제품 우편으로 발송할 경우 하나 상품만 보내드릴 수 있습니다. 상품 먼저 폐기하지 마시고 우편 수령 후 정상 제품 확인 후 폐기 부탁드리며 동일한 주소지로 오늘 발송하겠습니다.,교환|반품|환불_일반_요청,268499,2
28428,c,바이올렛 2개 주문했는데 1개만 핑크색으로 바꿔도 될까요?,교환|반품|환불_일반_요청,343504,1
28429,s,현재 고객님의 구매 내역이 확인되지 않아 변경도와 드릴 수 없습니다.,교환|반품|환불_일반_요청,343504,2
28430,c,"지금 갖고 계신 일반형 회수 후 다시 USB형으로 발송하도록 하겠습니다 회수 후 발송이면 최소 4 - 5일은 걸릴 텐데, 맞교환 부탁드립니다. 판매자님 실수 아닙니까?",교환|반품|환불_일반_요청,137638,1
28431,s,회수 접수 후 재발송입니다.,교환|반품|환불_일반_요청,137638,2
